,m318,m858,m50,m527,m1198,m904,m260,m750,m912,m2762,m913,m1193,m923,m908,m1221,m593,m1252,m2028,m1136,m2324,m1234,m2858,m2571,m1197,m1233,m1196,m296,m1213,m541,m608,m1225,m969,m1278,m919,m1247,m1208,m2804,m110,m2692,m1617,m3114,m1219,m1304,m1358,m1242,m111,m1288,m1704,m1214,m3147,m1240,m1,m1230,m1089,m1291,m2396,m1200,m2997,m1294,m1036,m2918,m1222,m47,m3578,m1258,m457,m1259,m1090,m1387,m356,m1206,m2959,m150,m1307,m924,m589,m1961,m3421,m1610,m3671,m1210,m1394,m3471,m2194,m920,m1674,m1270,m1079,m2791,m1097,m1265,m1784,m223,m32,m1954,m1220,m2268,m2599,m3481,m590
u4406,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,,5.0,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,3.0,4.0,5.0,,,5.0,4.0,,4.0,5.0,5.0,,5.0,,5.0,5.0,5.0,5.0,,5.0,,,5.0,5.0,4.0,,,,,,5.0,5.0,,,,,5.0,5.0,4.0,,,5.0,5.0,,,,,5.0,5.0,5.0,,,,4.0,,,4.0,,,4.0,5.0,,,,,,
u4407,5.0,,4.0,,,,,,,5.0,,,,,,5.0,,4.0,,,,5.0,,,,,5.0,5.0,,,,,,,,,,,,3.0,,,,,,,,5.0,,3.0,,4.0,,,,,,,,,,,5.0,4.0,,,,,,5.0,,4.0,3.0,,,,,,3.0,,,,,,,,,,,,5.0,,4.0,,,,4.0,4.0,,
u4408,5.0,5.0,4.0,5.0,5.0,4.0,4.0,,5.0,5.0,,5.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,,5.0,,,3.0,4.0,3.0,,,,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,,,,,4.0,5.0,,4.0,5.0,3.0,,5.0,,4.0,5.0,4.0,3.0,4.0,,,4.0,4.0,3.0,3.0,5.0,,,5.0,4.0,3.0,5.0,5.0,,,3.0,,3.0,3.0,,5.0,3.0,,3.0,,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,,,,3.0,,2.0,,,,5.0
u4409,,,,4.0,,,,,4.0,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,5.0,,5.0,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,
u441,,,,,5.0,,5.0,,,,,,2.0,,,5.0,,,,,,4.0,5.0,,,4.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,5.0,,,,,,,,,4.0,5.0,,,,,,,,,2.0,,4.0,,4.0,4.0,,,,,,,,,,
u4410,5.0,,5.0,4.0,,,5.0,4.0,,,,5.0,,,,4.0,,,4.0,,,5.0,,,,,,,,,,,,,,3.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,4.0,,,,,,,,,,,,,
u4411,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,4.0,,,5.0,4.0,,5.0,5.0,4.0,,5.0,3.0,,5.0,3.0,5.0,,5.0,5.0,,5.0,5.0,5.0,,5.0,,5.0,,,,,,5.0,5.0,,5.0,,4.0,,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,,,4.0,5.0,4.0,,,5.0,,5.0,,5.0,,,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,,5.0,,,,3.0
u4412,5.0,,4.0,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,3.0,,,1.0,,,,,,,,5.0,,,,,,,,,,5.0,,4.0,,,,,,3.0,,1.0,,,,,,,,,,,,4.0,,4.0,,,,,,,3.0,,,,,,,,4.0,,,,4.0,4.0,,,,,3.0,,,
u4413,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
u4414,5.0,,,,,,,,,5.0,,,,,,5.0,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,5.0,,5.0,,,,,5.0,,,,,,,,,,,2.0,,,5.0,5.0,4.0,,,,,1.0,,
u4415,,5.0,,,5.0,,5.0,,5.0,5.0,,,,,5.0,,,5.0,,,,5.0,5.0,4.0,4.0,5.0,,,3.0,,,,,,,5.0,,5.0,4.0,,,,,,4.0,,,,,,5.0,,,,5.0,5.0,3.0,,,5.0,,5.0,,5.0,,4.0,5.0,5.0,3.0,5.0,4.0,4.0,,,,5.0,,,,,5.0,,,,,,3.0,,,,,,3.0,3.0,,,,3.0,,
u4416,5.0,5.0,5.0,,5.0,,5.0,,,,,,,5.0,5.0,5.0,,5.0,,,,4.0,5.0,4.0,,5.0,5.0,5.0,,5.0,,,,4.0,,5.0,,5.0,,4.0,,4.0,,,5.0,5.0,,5.0,,,5.0,4.0,,5.0,,,,,,5.0,4.0,5.0,,5.0,4.0,4.0,5.0,5.0,4.0,,5.0,4.0,,,,5.0,,,,5.0,,4.0,,4.0,,,5.0,,5.0,,5.0,,5.0,5.0,5.0,,,,,
u4417,,,,,,,5.0,,,,,,,,,5.0,,4.0,,,,,5.0,5.0,,5.0,,,,,,,,,,,,,,5.0,,,5.0,,5.0,,,,5.0,,3.0,,,,4.0,,5.0,,,5.0,,,,4.0,,5.0,,,5.0,,,,,,,5.0,,,,,5.0,,,5.0,,,,,,,,,,,5.0,4.0,,,,
u4418,4.0,5.0,5.0,4.0,,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,,3.0,,2.0,4.0,4.0,,,,,3.0,,3.0,,,4.0,5.0,,4.0,,,,5.0,,4.0,,,,4.0,,4.0,,,,,5.0,,,4.0,,4.0,2.0,,,,,,,,,,4.0,,1.0,,,,,,,4.0,,4.0,,,4.0,,3.0,,4.0,,,,5.0,2.0,4.0,,3.0,,,4.0,5.0,
u4419,,,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u442,5.0,5.0,5.0,,5.0,,5.0,4.0,5.0,4.0,,5.0,,5.0,5.0,5.0,4.0,4.0,5.0,4.0,,4.0,4.0,5.0,5.0,5.0,4.0,4.0,,5.0,4.0,4.0,,5.0,4.0,,5.0,5.0,4.0,5.0,4.0,,4.0,5.0,5.0,4.0,5.0,2.0,,,,,,4.0,,4.0,4.0,5.0,,5.0,5.0,,,4.0,5.0,,,,5.0,4.0,3.0,,5.0,5.0,3.0,2.0,5.0,5.0,4.0,,5.0,5.0,,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,4.0,4.0,4.0
u4420,,5.0,,,5.0,5.0,5.0,4.0,5.0,,5.0,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4422,,5.0,2.0,5.0,5.0,,,,5.0,5.0,,3.0,,,,5.0,,4.0,,,,5.0,,5.0,,5.0,4.0,5.0,3.0,,4.0,3.0,,,,3.0,4.0,4.0,,,,,,,,,4.0,,3.0,3.0,,5.0,,4.0,5.0,4.0,3.0,,,4.0,4.0,3.0,,5.0,,4.0,4.0,3.0,,5.0,4.0,3.0,5.0,,4.0,,4.0,5.0,,5.0,5.0,2.0,4.0,,,,5.0,4.0,4.0,4.0,,5.0,,,,5.0,4.0,,,4.0
u4423,,,5.0,,5.0,,,4.0,,5.0,,4.0,,3.0,,4.0,,,,,,,,5.0,,5.0,4.0,,3.0,4.0,,,4.0,,4.0,4.0,,,,4.0,,,,5.0,,,,,4.0,,3.0,,,,,,5.0,,,,,,3.0,,,,,,4.0,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,5.0,4.0,,,
u4424,,4.0,,,4.0,,4.0,,,,,5.0,,,5.0,5.0,,2.0,,,,,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
u4425,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,,4.0,3.0,5.0,,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,,4.0,4.0,5.0,4.0,4.0,4.0,,,4.0,4.0,4.0,3.0,4.0,,,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,,4.0,4.0,3.0,4.0,4.0,,4.0
u4426,,,,4.0,,,4.0,,,,4.0,,,,,,5.0,,,,5.0,,,,,,,,4.0,,,,5.0,,,,,,,4.0,4.0,,4.0,,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,3.0,3.0,,,4.0,,,,,,,,,
u4427,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,4.0,2.0,,,5.0,,,,,,,,,5.0,,,,,,,,,,,1.0,5.0,,,,,,,,,
u4428,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,3.0,,,,,,,5.0,,,,,,,,,1.0,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
u4429,,3.0,5.0,,,,,,,,5.0,5.0,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u443,5.0,5.0,5.0,5.0,,,,,5.0,,,,4.0,,4.0,,,,,,3.0,,,,,,2.0,4.0,,4.0,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,5.0,,,,,,,,,,,3.0,,,4.0,,,,,,,5.0,,,,,,5.0,,,,,,,,,,
u4430,4.0,,,4.0,,,,,,,,,,,,,,4.0,,4.0,,5.0,,3.0,,,5.0,,,5.0,,,,,,,,3.0,,,,,,4.0,,,,3.0,,,,4.0,,,,4.0,,3.0,,,,,,,,,,,,5.0,,,2.0,,,,2.0,,,,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,,,,4.0,,2.0
u4431,3.0,3.0,5.0,5.0,3.0,2.0,,3.0,,,,5.0,,,,4.0,,,,,,5.0,3.0,,,,4.0,,,,5.0,,,,,,,,,3.0,,5.0,,,,,,,,,,,,3.0,,,,5.0,,,,,4.0,,,,,,,,4.0,,,,5.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
u4432,,,,,,,,,5.0,,,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,5.0,,,5.0,,4.0,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,3.0,,,4.0,,,,5.0,,4.0,,,,,,,,,
u4433,,,4.0,5.0,4.0,4.0,4.0,4.0,,5.0,,,,4.0,5.0,3.0,4.0,4.0,4.0,,,,4.0,4.0,4.0,5.0,,,5.0,2.0,,,4.0,,,5.0,,4.0,,5.0,,4.0,,5.0,3.0,,4.0,,4.0,,5.0,,,3.0,,,5.0,,5.0,,,4.0,,,5.0,4.0,3.0,4.0,3.0,,5.0,,,,3.0,5.0,,,,4.0,3.0,,3.0,,3.0,3.0,4.0,,,3.0,,,,,4.0,5.0,,,,4.0
u4434,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,
u4435,5.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,5.0,,,,,,,,,,,,,,5.0,,,,5.0,,4.0,,,,,,,,4.0,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,5.0,,,,,3.0,,,,,,4.0,,
u4436,,3.0,5.0,5.0,,4.0,,,,5.0,3.0,,,,,5.0,,,5.0,4.0,3.0,4.0,4.0,,,,,4.0,5.0,,,,,,,,5.0,5.0,5.0,2.0,5.0,,4.0,5.0,,,,4.0,,,,5.0,,3.0,,4.0,,4.0,4.0,,,,4.0,4.0,,4.0,5.0,,,,,5.0,5.0,4.0,4.0,3.0,,,4.0,,,3.0,,,3.0,,4.0,,,,4.0,,4.0,,,5.0,4.0,,,
u4437,,4.0,,,4.0,,3.0,,,5.0,,,,5.0,4.0,,,,2.0,,4.0,,,,,,,,,,,,3.0,,,,,,,,3.0,,4.0,,,,,,4.0,4.0,4.0,4.0,,,4.0,,,,,5.0,5.0,,,,,3.0,,,4.0,3.0,,1.0,,4.0,,3.0,,4.0,,3.0,2.0,,,,,,4.0,,3.0,,2.0,3.0,,,4.0,3.0,,,,
u4438,,,,5.0,,,,,,,,,,,5.0,,2.0,5.0,5.0,,5.0,,,,4.0,4.0,,,,,,4.0,5.0,,3.0,,4.0,4.0,,,,3.0,4.0,,,,,2.0,,,,4.0,,,5.0,,5.0,,,4.0,3.0,5.0,,,,,,4.0,,,3.0,,,3.0,,4.0,3.0,4.0,5.0,5.0,4.0,,,4.0,,4.0,,2.0,,4.0,,4.0,,,3.0,3.0,,,,
u4439,,,,,,,,,,1.0,5.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,,
u444,4.0,,,4.0,,5.0,,5.0,5.0,,,4.0,,4.0,,,4.0,,4.0,4.0,5.0,4.0,,,5.0,4.0,4.0,,,5.0,,5.0,4.0,,5.0,,,3.0,,4.0,,,4.0,4.0,,,5.0,,,,,4.0,4.0,,,4.0,,3.0,5.0,,,,,,,,,,,4.0,,,,,,,,4.0,,,,3.0,,,5.0,,3.0,4.0,,3.0,,,,,,,,,,
u4440,5.0,,,5.0,,,,,,,,4.0,,,,5.0,,,5.0,,,5.0,,5.0,,,,4.0,,,,,4.0,,,4.0,,,,,,,,,,,4.0,,4.0,,,,,,,,,,4.0,,5.0,,,4.0,,,4.0,,4.0,,,,,4.0,,,,4.0,,4.0,,,4.0,,,,3.0,,4.0,,,,,,,,,,,
u4441,,1.0,,,,,,,5.0,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
u4442,,,,,,,,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
u4443,,,,,,,,,,,3.0,,,,,,4.0,,5.0,,3.0,4.0,,,,,,,3.0,,,,,4.0,,,,,,3.0,,,3.0,,,,,,,,,1.0,1.0,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,4.0,,,,,,,,,
u4444,5.0,,,,4.0,,4.0,,,5.0,,,,,,5.0,,4.0,,,,5.0,,4.0,,4.0,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,4.0,,5.0,,,,3.0,,4.0,,,,,,,,,5.0,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,4.0,,5.0
u4445,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,1.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
u4446,,4.0,5.0,5.0,4.0,,5.0,,,,,,,,,4.0,,5.0,4.0,,,5.0,5.0,4.0,,5.0,4.0,5.0,,5.0,,,4.0,3.0,,5.0,5.0,5.0,,,,,,,5.0,,,,2.0,,3.0,4.0,,5.0,3.0,,2.0,5.0,,,4.0,5.0,5.0,,3.0,4.0,,3.0,4.0,5.0,4.0,,,,,3.0,,,3.0,3.0,5.0,4.0,3.0,4.0,,,4.0,4.0,2.0,4.0,4.0,,5.0,5.0,2.0,4.0,,,,4.0
u4447,3.0,4.0,5.0,,2.0,4.0,3.0,5.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,,4.0,3.0,,5.0,3.0,,3.0,4.0,4.0,,4.0,,4.0,,4.0,3.0,2.0,,4.0,3.0,4.0,2.0,4.0,4.0,3.0,,3.0,4.0,4.0,,4.0,2.0,4.0,,,3.0,5.0,4.0,,3.0,2.0,4.0,2.0,5.0,4.0,4.0,,3.0,3.0,4.0,4.0,3.0,4.0,,,3.0,3.0,3.0,2.0,5.0,,2.0
u4448,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0
u4449,5.0,,,,,,5.0,5.0,,5.0,,,5.0,,,,,4.0,5.0,4.0,,4.0,5.0,5.0,3.0,5.0,4.0,,5.0,,,,,,4.0,,,4.0,,,,,,,,,,,,4.0,,5.0,,,,4.0,,5.0,,,5.0,,,4.0,,4.0,,,,4.0,5.0,5.0,,5.0,4.0,,,,,,5.0,,4.0,,3.0,,5.0,,,4.0,5.0,,5.0,4.0,,5.0,,4.0,4.0,
u445,,5.0,,,,,5.0,5.0,,5.0,,5.0,,5.0,4.0,,,,,,,5.0,5.0,,,5.0,,,5.0,,,,5.0,,,,,,,4.0,5.0,,,,,2.0,,,5.0,,5.0,,3.0,,,,3.0,3.0,,,,,,5.0,,,5.0,,,,3.0,2.0,,,,5.0,,5.0,,5.0,5.0,,4.0,,,,4.0,,4.0,5.0,,,,3.0,,,,,4.0,
u4450,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,3.0,2.0,,3.0,,,,,4.0,,,,3.0,,,2.0,,,,4.0,,,,,,
u4451,5.0,4.0,5.0,5.0,3.0,4.0,5.0,,,,,4.0,,,4.0,3.0,,5.0,,3.0,,4.0,2.0,3.0,,4.0,5.0,5.0,,5.0,,,4.0,4.0,4.0,3.0,4.0,4.0,,3.0,3.0,,4.0,4.0,4.0,5.0,,,,,4.0,3.0,,5.0,,2.0,,4.0,,3.0,3.0,3.0,4.0,,,3.0,3.0,3.0,3.0,2.0,,4.0,,4.0,,,,,,4.0,4.0,,,3.0,,,3.0,,,3.0,3.0,3.0,2.0,,,2.0,,,,
u4452,5.0,,,5.0,,,,,,4.0,,,,,,5.0,,,,,,5.0,,,,,5.0,,,5.0,,,,,,,,4.0,,3.0,4.0,,,5.0,,,,,,5.0,,5.0,,,,4.0,,4.0,,,,,5.0,5.0,,5.0,,,,,,5.0,4.0,,,5.0,,,5.0,,,,,,,,,,,,5.0,,3.0,5.0,,,3.0,5.0,5.0,
u4453,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,
u4454,,,5.0,,,,3.0,,,,,,,,,,,,,,,,5.0,,,,3.0,5.0,,5.0,,,,,,,,,5.0,3.0,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,4.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,
u4455,,4.0,,,,,,,,4.0,5.0,,,,,,,,,,,4.0,,5.0,,,,,5.0,,,4.0,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,3.0,,
u4456,4.0,,,,4.0,5.0,,,3.0,3.0,,,,5.0,,5.0,,1.0,,4.0,,5.0,4.0,,,,5.0,5.0,,5.0,,,,5.0,,,,,5.0,5.0,5.0,,,4.0,,5.0,5.0,,,,,5.0,4.0,5.0,,5.0,,,,,,,,5.0,,,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,5.0,4.0,,,,,4.0,,5.0,,5.0
u4457,5.0,5.0,5.0,4.0,,5.0,4.0,5.0,5.0,,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,,4.0,,,5.0,5.0,,5.0,4.0,5.0,,,5.0,4.0,4.0,5.0,,,5.0,,5.0,,,5.0,,5.0,4.0,,5.0,4.0,,5.0,,,,5.0,,4.0,,,5.0,,,4.0,5.0,5.0,,,,5.0,5.0,,5.0,,3.0,4.0,4.0,,,5.0,5.0,,,4.0,,,,,,
u4458,,,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,,,,,,4.0,4.0,,5.0,,,4.0,,5.0,,4.0,5.0,3.0,3.0,5.0,,,5.0,,,5.0,5.0,4.0,,4.0,,,,,,3.0,4.0,,4.0,,3.0,4.0,3.0,,4.0,4.0,4.0,5.0,,,5.0,2.0,5.0,4.0,4.0,,4.0,,,4.0,5.0,2.0,,4.0,,4.0,,4.0,4.0,5.0,3.0,5.0,,,,3.0,4.0,4.0,,4.0,4.0,2.0,3.0,3.0,,5.0,,4.0,4.0,
u4459,5.0,5.0,,4.0,,,,3.0,,,,4.0,,,4.0,4.0,,5.0,,,,4.0,,,5.0,4.0,5.0,5.0,,5.0,,,,,,4.0,4.0,,,,,,,5.0,5.0,,5.0,,,4.0,,,,,,4.0,4.0,4.0,5.0,,4.0,5.0,,5.0,,,4.0,4.0,,4.0,,2.0,,4.0,,,4.0,,,,3.0,5.0,,,2.0,,4.0,4.0,3.0,,4.0,4.0,4.0,,,,,5.0,,
u446,,,,,,,,,,,,,,5.0,,,,,5.0,5.0,,,,,5.0,3.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,,
u4460,,,5.0,,,,,,,,,,,,,,,4.0,,,,5.0,5.0,,,,5.0,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,5.0,,,,,,4.0,4.0,,,,4.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,
u4461,,,,,5.0,,5.0,4.0,,,,,,,,5.0,,,5.0,,,4.0,3.0,5.0,,4.0,,,5.0,,,,5.0,5.0,,,5.0,,,,,,,,,,,,5.0,,5.0,,,,5.0,,4.0,,,,,5.0,,5.0,,4.0,5.0,,,,5.0,,,,5.0,5.0,,4.0,,5.0,5.0,,3.0,5.0,,,5.0,,,5.0,,,,3.0,,5.0,,,,
u4462,,,,,,,,,,,4.0,,,,,3.0,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
u4463,,,5.0,,,,,,,,,5.0,,,,,,4.0,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4464,,,,,,,,,,,,,,,,4.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
u4465,,,,5.0,,,,,4.0,,,,5.0,,,,,,,,,4.0,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,4.0,,,,,4.0,,,,,,2.0,,,,,,4.0,,,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
u4466,,5.0,,,,,4.0,,,,,5.0,,,5.0,,4.0,,4.0,,4.0,4.0,,,,,,,4.0,,5.0,,4.0,,,4.0,,4.0,,,,,4.0,,,,,,,,4.0,,5.0,,4.0,,3.0,4.0,,,,4.0,,,4.0,,,,5.0,,,5.0,,4.0,,,,,,4.0,3.0,3.0,,,,,,5.0,3.0,4.0,,,,,,4.0,,,,
u4467,5.0,,,,5.0,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,4.0,,,,4.0,4.0,,,,3.0,,,4.0,,,,,3.0,,4.0,5.0,,,,,,,,,2.0,
u4468,5.0,5.0,,,5.0,5.0,,,5.0,,3.0,3.0,,5.0,,4.0,,5.0,,4.0,,5.0,,,,,,,,,4.0,5.0,1.0,5.0,4.0,,5.0,3.0,,5.0,,,,5.0,,,,,,5.0,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,4.0,2.0,,,,,,,,,,5.0,4.0,,,3.0,,,,,,,,,,,
u4469,,,,,4.0,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,3.0,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,3.0
u447,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
u4470,5.0,,,5.0,5.0,,5.0,,,5.0,,,,,4.0,5.0,,5.0,4.0,,,,5.0,4.0,,5.0,,,,,,,,5.0,,,,5.0,,,5.0,,,,,,5.0,4.0,5.0,5.0,5.0,5.0,,,5.0,,5.0,,,5.0,4.0,,,,,5.0,5.0,5.0,5.0,,,,4.0,5.0,4.0,4.0,,5.0,5.0,,5.0,5.0,4.0,5.0,,,5.0,,,4.0,5.0,,,,,5.0,,,,5.0
